1740413442.675987 server started (72401): version 3.4, socket /private/tmp/tmux-502/default, protocol 8
1740413442.676022 on Darwin 23.6.0 Darwin Kernel Version 23.6.0: Mon Jul 29 21:14:04 PDT 2024; root:xnu-10063.141.2~1/RELEASE_ARM64_T8122
1740413442.676029 using libevent 2.1.12-stable select
1740413442.676038 using utf8proc 2.9.0
1740413442.676044 using ncurses 6.5 20240427
1740413442.676102 input_key_build: 0x10e003 (PasteStart) is \033[200~
1740413442.676108 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1740413442.676128 input_key_build: 0x10e195 (F1) is \033OP
1740413442.676134 input_key_build: 0x10e196 (F2) is \033OQ
1740413442.676140 input_key_build: 0x10e197 (F3) is \033OR
1740413442.676145 input_key_build: 0x10e198 (F4) is \033OS
1740413442.676150 input_key_build: 0x10e199 (F5) is \033[15~
1740413442.676156 input_key_build: 0x10e19a (F6) is \033[17~
1740413442.676161 input_key_build: 0x10e19b (F7) is \033[18~
1740413442.676166 input_key_build: 0x10e19c (F8) is \033[19~
1740413442.676171 input_key_build: 0x10e19d (F9) is \033[20~
1740413442.676176 input_key_build: 0x10e19e (F10) is \033[21~
1740413442.676181 input_key_build: 0x10e19f (F11) is \033[23~
1740413442.676187 input_key_build: 0x10e1a0 (F12) is \033[24~
1740413442.676192 input_key_build: 0x10e1a1 (IC) is \033[2~
1740413442.676197 input_key_build: 0x10e1a2 (DC) is \033[3~
1740413442.676202 input_key_build: 0x10e1a3 (Home) is \033[1~
1740413442.676207 input_key_build: 0x10e1a4 (End) is \033[4~
1740413442.676212 input_key_build: 0x10e1a5 (NPage) is \033[6~
1740413442.676218 input_key_build: 0x10e1a6 (PPage) is \033[5~
1740413442.676223 input_key_build: 0x10e1a7 (BTab) is \033[Z
1740413442.676228 input_key_build: 0x10e1a8 (Up) is \033[A
1740413442.676233 input_key_build: 0x10e1a9 (Down) is \033[B
1740413442.676238 input_key_build: 0x10e1aa (Left) is \033[D
1740413442.676244 input_key_build: 0x10e1ab (Right) is \033[C
1740413442.676249 input_key_build: 0x10e1ac (KP/) is /
1740413442.676255 input_key_build: 0x10e1ad (KP*) is *
1740413442.676260 input_key_build: 0x10e1ae (KP-) is -
1740413442.676265 input_key_build: 0x10e1af (KP7) is 7
1740413442.676270 input_key_build: 0x10e1b0 (KP8) is 8
1740413442.676276 input_key_build: 0x10e1b1 (KP9) is 9
1740413442.676282 input_key_build: 0x10e1b2 (KP+) is +
1740413442.676287 input_key_build: 0x10e1b3 (KP4) is 4
1740413442.676293 input_key_build: 0x10e1b4 (KP5) is 5
1740413442.676297 input_key_build: 0x10e1b5 (KP6) is 6
1740413442.676303 input_key_build: 0x10e1b6 (KP1) is 1
1740413442.676308 input_key_build: 0x10e1b7 (KP2) is 2
1740413442.676313 input_key_build: 0x10e1b8 (KP3) is 3
1740413442.676318 input_key_build: 0x10e1b9 (KPEnter) is \n
1740413442.676323 input_key_build: 0x10e1ba (KP0) is 0
1740413442.676328 input_key_build: 0x10e1bb (KP.) is .
1740413442.676334 input_key_build: 0x200000000009 (C-Tab) is \t
1740413442.676339 input_key_build: 0x20000010e195 (C-F1) is \033[1;5P
1740413442.676345 input_key_build: 0x20000010e196 (C-F2) is \033[1;5Q
1740413442.676350 input_key_build: 0x20000010e197 (C-F3) is \033[1;5R
1740413442.676355 input_key_build: 0x20000010e198 (C-F4) is \033[1;5S
1740413442.676360 input_key_build: 0x20000010e199 (C-F5) is \033[15;5~
1740413442.676365 input_key_build: 0x20000010e19a (C-F6) is \033[17;5~
1740413442.676371 input_key_build: 0x20000010e19b (C-F7) is \033[18;5~
1740413442.676376 input_key_build: 0x20000010e19c (C-F8) is \033[19;5~
1740413442.676381 input_key_build: 0x20000010e19d (C-F9) is \033[20;5~
1740413442.676387 input_key_build: 0x20000010e19e (C-F10) is \033[21;5~
1740413442.676392 input_key_build: 0x20000010e19f (C-F11) is \033[23;5~
1740413442.676397 input_key_build: 0x20000010e1a0 (C-F12) is \033[24;5~
1740413442.676402 input_key_build: 0x20000010e1a1 (C-IC) is \033[2;5~
1740413442.676407 input_key_build: 0x20000010e1a2 (C-DC) is \033[3;5~
1740413442.676412 input_key_build: 0x20000010e1a3 (C-Home) is \033[1;5H
1740413442.676417 input_key_build: 0x20000010e1a4 (C-End) is \033[1;5F
1740413442.676423 input_key_build: 0x20000010e1a5 (C-NPage) is \033[6;5~
1740413442.676428 input_key_build: 0x20000010e1a6 (C-PPage) is \033[5;5~
1740413442.676440 input_key_build: 0x20000010e1a8 (C-Up) is \033[1;5A
1740413442.676444 input_key_build: 0x20000010e1a9 (C-Down) is \033[1;5B
1740413442.676448 input_key_build: 0x20000010e1aa (C-Left) is \033[1;5D
1740413442.676451 input_key_build: 0x20000010e1ab (C-Right) is \033[1;5C
1740413442.676455 input_key_build: 0x40000010e195 (S-F1) is \033[1;2P
